surface,reading,source_ref,commonness_tier
アイス,あいす,curated,curated
苺,いちご,curated,curated
椅子,いす,curated,curated
犬,いぬ,curated,curated
海,うみ,curated,curated
映画,えいが,curated,curated
絵本,えほん,curated,curated
音楽,おんがく,curated,curated
柿,かき,curated,curated
傘,かさ,curated,curated
カメラ,かめら,curated,curated
学校,がっこう,curated,curated
キリン,きりん,curated,curated
ギター,ぎたー,curated,curated
狐,きつね,curated,curated
靴,くつ,curated,curated
クジラ,くじら,curated,curated
熊,くま,curated,curated
車,くるま,curated,curated
毛糸,けいと,curated,curated
公園,こうえん,curated,curated
米,こめ,curated,curated
コアラ,こあら,curated,curated
コーヒー,こーひー,curated,curated
魚,さかな,curated,curated
桜,さくら,curated,curated
猿,さる,curated,curated
塩,しお,curated,curated
鹿,しか,curated,curated
写真,しゃしん,curated,curated
新聞,しんぶん,curated,curated
西瓜,すいか,curated,curated
寿司,すし,curated,curated
空,そら,curated,curated
太鼓,たいこ,curated,curated
卵,たまご,curated,curated
狸,たぬき,curated,curated
地図,ちず,curated,curated
机,つくえ,curated,curated
手紙,てがみ,curated,curated
時計,とけい,curated,curated
トマト,とまと,curated,curated
鳥,とり,curated,curated
長靴,ながぐつ,curated,curated
肉,にく,curated,curated
庭,にわ,curated,curated
布,ぬの,curated,curated
猫,ねこ,curated,curated
鼠,ねずみ,curated,curated
海苔,のり,curated,curated
花,はな,curated,curated
飛行機,ひこうき,curated,curated
船,ふね,curated,curated
蛇,へび,curated,curated
帽子,ぼうし,curated,curated
本,ほん,curated,curated
枕,まくら,curated,curated
マイク,まいく,curated,curated
蜜柑,みかん,curated,curated
虫,むし,curated,curated
眼鏡,めがね,curated,curated
桃,もも,curated,curated
野菜,やさい,curated,curated
山,やま,curated,curated
指輪,ゆびわ,curated,curated
雪,ゆき,curated,curated
洋服,ようふく,curated,curated
林檎,りんご,curated,curated
料理,りょうり,curated,curated
留守,るす,curated,curated
檸檬,れもん,curated,curated
蝋燭,ろうそく,curated,curated
和紙,わし,curated,curated
ワニ,わに,curated,curated
ウサギ,うさぎ,curated,curated
ズボン,ずぼん,curated,curated
ゴマ,ごま,curated,curated
ラジオ,らじお,curated,curated
虹,にじ,curated,curated
自転車,じてんしゃ,curated,curated
上,うえ,wnja:04515630-n,basic
下,した,wnja:08625297-n,basic
中,なか,wnja:04795061-n,basic
人,ひと,wnja:00007846-n,basic
今,いま,wnja:15119536-n,basic
体,からだ,wnja:00755277-n,basic
兄,あに,wnja:09876454-n,basic
先,さき,wnja:03974215-n,basic
内,うち,wnja:08588152-n,basic
円,えん,wnja:03032811-n,basic
冬,ふゆ,wnja:15237782-n,basic
前,まえ,wnja:03398467-n,basic
北,きた,wnja:05937417-n,basic
千,せん,wnja:13750844-n,basic
南,みなみ,wnja:13833375-n,basic
口,くち,wnja:00338641-n,basic
右,みぎ,wnja:08625073-n,basic
味,あじ,wnja:00882702-n,basic
喉,のど,wnja:05547508-n,basic
国,くに,wnja:08168978-n,basic
土,つち,wnja:05930574-n,basic
夏,なつ,wnja:15237250-n,basic
外,そと,wnja:08613472-n,basic
