surface,reading,source_ref
ネコ,ねこ,wnja:02121620-n
仔猫,こねこ,wnja:02122948-n
オオサンショウウオ,おおさんしょううお,wnja:01633781-n
シャチ,しゃち,wnja:02071294-n
レッサーパンダ,れっさーぱんだ,wnja:02509815-n
イヌ,いぬ,wnja:02084071-n
仔犬,こいぬ,wnja:01322604-n
小型犬,こがたけん,wnja:02085374-n
タヌキ,たぬき,wnja:02116450-n
蚕蛾,かいこが,wnja:02302459-n
カイコ,かいこ,wnja:02300554-n|02300797-n|02302620-n
ゴリラ,ごりら,wnja:02480855-n
ゴキブリ,ごきぶり,wnja:02233338-n
ライオン,らいおん,wnja:02129165-n
ジャイアントパンダ,じゃいあんとぱんだ,wnja:02510455-n
アライグマ,あらいぐま,wnja:02508021-n|02508213-n
条虫,じょうちゅう,wnja:01927456-n
ブユ,ぶゆ,wnja:02205673-n
コウモリ,こうもり,wnja:02139199-n
ゲジ,げじ,wnja:01785667-n
マイマイ,まいまい,wnja:01944390-n
ラッコ,らっこ,wnja:02445394-n
トラ,とら,wnja:02129604-n
ティラノサウルス,てぃらのさうるす,wnja:01713764-n
ウサギ,うさぎ,wnja:02324045-n
シーラカンス,しーらかんす,wnja:02515713-n
ペンギン,ぺんぎん,wnja:02055803-n
ハヤブサ,はやぶさ,wnja:01610955-n|01611472-n
キリン,きりん,wnja:02439033-n
ライチョウ,らいちょう,wnja:01796340-n
カラス,からす,wnja:01579028-n
スズメ,すずめ,wnja:01527347-n|01539573-n
ウナギ,うなぎ,wnja:02526121-n
海鞘,ほや,wnja:01469103-n
キツネ,きつね,wnja:02118333-n
ヌートリア,ぬーとりあ,wnja:02366959-n
ボウフラ,ぼうふら,wnja:02200509-n
コウノトリ,こうのとり,wnja:02002556-n
キジ,きじ,wnja:01803078-n
赤虫,あかむし,wnja:01937579-n
ウシガエル,うしがえる,wnja:01641577-n
信天翁,あほうどり,wnja:02058221-n
牝鶏,ひんけい,wnja:01792640-n
雄鶏,おんどり,wnja:01792158-n
雌鳥,めんどり,wnja:01792640-n|01793249-n
ニワトリ,にわとり,wnja:01791625-n
ウマ,うま,wnja:02374149-n|02374451-n
子馬,こうま,wnja:02382437-n
ヘビ,へび,wnja:01726692-n
蛇蜻蛉,へびとんぼ,wnja:02266050-n
クラゲ,くらげ,wnja:01910252-n|01910747-n
カピバラ,かぴばら,wnja:02365480-n
クモ,くも,wnja:01772222-n
タガメ,たがめ,wnja:02242137-n
ヒョウ,ひょう,wnja:02128385-n
クジラ,くじら,wnja:02062744-n
ミジンコ,みじんこ,wnja:01994910-n
ホタル,ほたる,wnja:02168245-n
フクロウ,ふくろう,wnja:01621127-n
蟯虫,ぎょうちゅう,wnja:01931520-n
椋鳥,むくどり,wnja:01576695-n
サメ,さめ,wnja:01482330-n
アザラシ,あざらし,wnja:02079389-n
白蟻,しろあり,wnja:02223266-n
翻車魚,まんぼう,wnja:02656670-n
ハムスター,はむすたー,wnja:02342885-n
海豚,いるか,wnja:02068974-n
ヨタカ,よたか,wnja:01835276-n
牡羊,おひつじ,wnja:02412080-n
綿羊,めんよう,wnja:02411705-n
マグロ,まぐろ,wnja:02626762-n
コアラ,こあら,wnja:01882714-n
ブリ,ぶり,wnja:02578928-n
トビ,とび,wnja:01608432-n
カブトガニ,かぶとがに,wnja:01788291-n
サンゴ,さんご,wnja:01915811-n
ゾウ,ぞう,wnja:02503517-n
マーモット,まーもっと,wnja:02361337-n
ミーアキャット,みーあきゃっと,wnja:02138441-n
山羊,やぎ,wnja:02416519-n
昆虫,こんちゅう,wnja:02159955-n
サソリ,さそり,wnja:01770393-n
オコジョ,おこじょ,wnja:02442172-n|02442336-n
コヨーテ,こよーて,wnja:02114855-n
マダニ,まだに,wnja:01776313-n|01776705-n
アリ,あり,wnja:02219486-n
カワウソ,かわうそ,wnja:02444819-n
カエル,かえる,wnja:01639765-n
ウォンバット,うぉんばっと,wnja:01883070-n
イッカク,いっかく,wnja:02072493-n
チンパンジー,ちんぱんじー,wnja:02481823-n
ピューマ,ぴゅーま,wnja:02125311-n
ウニ,うに,wnja:02319095-n
灰色熊,はいいろぐま,wnja:02132580-n
ボノボ,ぼのぼ,wnja:02482650-n
マンモス,まんもす,wnja:02504770-n
山椒魚,さんしょううお,wnja:01629276-n
モルモット,もるもっと,wnja:02361337-n|02364520-n|02364673-n|02364840-n
チワワ,ちわわ,wnja:02085620-n
エキノコックス,えきのこっくす,wnja:01927928-n
カメ,かめ,wnja:01662622-n|01662784-n
ウシ,うし,wnja:02402010-n|02402175-n|02402425-n
牡牛,おうし,wnja:02403454-n
肉牛,にくぎゅう,wnja:02404186-n
テン,てん,wnja:02450034-n
ドードー,どーどー,wnja:01811243-n
蝦蛄,しゃこ,wnja:01990007-n|01990516-n
カバ,かば,wnja:02398521-n
マッコウクジラ,まっこうくじら,wnja:02067240-n
サラブレッド,さらぶれっど,wnja:01323599-n
節足動物,せっそくどうぶつ,wnja:01767661-n
ヘラジカ,へらじか,wnja:02432983-n
イカ,いか,wnja:01971280-n
ダックスフント,だっくすふんと,wnja:02089232-n
トリケラトプス,とりけらとぷす,wnja:01704323-n
モズ,もず,wnja:01598588-n
クスクス,くすくす,wnja:01881171-n|01881564-n
ビーバー,びーばー,wnja:02363005-n
モグラ,もぐら,wnja:01889520-n
アオサギ,あおさぎ,wnja:02008041-n
