surface,reading,source_ref
ノルウェー,のるうぇー,wnja:08764107-n
スペイン,すぺいん,wnja:09023321-n
英国,えいこく,wnja:08860123-n
コンゴ民主共和国,こんごみんしゅきょうわこく,wnja:08734385-n
ベネズエラ,べねずえら,wnja:09161803-n
イングランド,いんぐらんど,wnja:08871007-n
ブラジル,ぶらじる,wnja:08853741-n
ボスニアヘルツェゴビナ,ぼすにあへるつぇごびな,wnja:08817630-n
ドイツ,どいつ,wnja:08766988-n
ドイツ連邦共和国,どいつれんぽうきょうわこく,wnja:08766988-n|08768881-n
スウェーデン,すうぇーでん,wnja:08765890-n
フランス,ふらんす,wnja:08929922-n
コロンビア,ころんびあ,wnja:08732116-n
大韓民国,だいかんみんこく,wnja:08955626-n
スイス連邦,すいすれんぽう,wnja:09031653-n
イラン,いらん,wnja:08910668-n
オーストラリア,おーすとらりあ,wnja:08831004-n
アイルランド,あいるらんど,wnja:08888676-n
イタリア,いたりあ,wnja:08801678-n
メキシコ,めきしこ,wnja:08740875-n
ベトナム,べとなむ,wnja:09163192-n
スコットランド,すこっとらんど,wnja:08890097-n
ウズベキスタン,うずべきすたん,wnja:09022265-n
インドネシア,いんどねしあ,wnja:08907606-n
コンゴ共和国,こんごきょうわこく,wnja:08734044-n
ポーランド共和国,ぽーらんどきょうわこく,wnja:08982587-n
インド,いんど,wnja:08900535-n
フィリピン,ふぃりぴん,wnja:08981244-n
アイスランド,あいすらんど,wnja:08953324-n
チュニジア,ちゅにじあ,wnja:09037394-n
デンマーク,でんまーく,wnja:08761244-n
タイ王国,たいおうこく,wnja:09036452-n
南アフリカ,みなみあふりか,wnja:08999482-n
ガーナ,がーな,wnja:08946187-n
ガイアナ,がいあな,wnja:08948346-n
エジプト,えじぷと,wnja:08897065-n
ミャンマー,みゃんまー,wnja:08715390-n
アゼルバイジャン,あぜるばいじゃん,wnja:09018162-n
バングラデシュ人民共和国,ばんぐらでしゅじんみんきょうわこく,wnja:08848731-n
赤道ギニア,せきどうぎにあ,wnja:08763500-n
チェコ,ちぇこ,wnja:08757264-n
モナコ,もなこ,wnja:08967868-n
ハンガリー,はんがりー,wnja:08952190-n
パキスタン,ぱきすたん,wnja:08975902-n
ペルー,ぺるー,wnja:08979054-n
ベラルーシ共和国,べらるーしきょうわこく,wnja:09011151-n
トルクメニスタン,とるくめにすたん,wnja:09021503-n
キプロス,きぷろす,wnja:08756884-n
ギリシア,ぎりしあ,wnja:08780881-n
パプアニューギニア,ぱぷあにゅーぎにあ,wnja:08844557-n
スリナム,すりなむ,wnja:09030752-n
カンボジア,かんぼじあ,wnja:08716738-n
キューバ,きゅーば,wnja:08750334-n
キルギスタン,きるぎすたん,wnja:09020440-n
ブルネイ,ぶるねい,wnja:08896092-n
イエメン,いえめん,wnja:09164561-n
イラク,いらく,wnja:08913434-n
ギニアビサウ,ぎにあびさう,wnja:08947772-n
ラオス人民民主共和国,らおすじんみんみんしゅきょうわこく,wnja:08956760-n
モルドバ,もるどば,wnja:09014586-n
モーリタニア,もーりたにあ,wnja:08966820-n
ブルガリア,ぶるがりあ,wnja:08714132-n
アルメニア,あるめにあ,wnja:09017526-n
ソマリア,そまりあ,wnja:08998560-n
パナマ,ぱなま,wnja:08739206-n
アンゴラ,あんごら,wnja:08707917-n
トリニダードトバゴ,とりにだーどとばご,wnja:08756202-n
マーシャル諸島,まーしゃるしょとう,wnja:08839092-n
バハマ,ばはま,wnja:08847268-n
リベリア,りべりあ,wnja:08959254-n
チベット,ちべっと,wnja:08906952-n
スーダン,すーだん,wnja:09029457-n
ルワンダ,るわんだ,wnja:08815046-n
フィジー,ふぃじー,wnja:08779149-n
ブルンジ,ぶるんじ,wnja:08716219-n
ケニア共和国,けにあきょうわこく,wnja:08928193-n
オランダ王国,おらんだおうこく,wnja:08949093-n
ツバル,つばる,wnja:08840374-n
バヌアツ,ばぬあつ,wnja:09160775-n
グアテマラ,ぐあてまら,wnja:08737041-n
