surface,reading,source_ref
ズッキーニ,ずっきーに,wnja:07716358-n
とうもろこし,とうもろこし,wnja:07731952-n
スイートコーン,すいーとこーん,wnja:07732168-n
トマト,とまと,wnja:07734017-n
珈琲,こーひー,wnja:07929519-n
ドリップコーヒー,どりっぷこーひー,wnja:07919894-n
じゃが芋,じゃがいも,wnja:07710616-n
コリアンダー,こりあんだー,wnja:07817315-n|07817465-n
スイカ,すいか,wnja:07756951-n
アボカド,あぼかど,wnja:07764847-n
コカコーラ,こかこーら,wnja:07928696-n
タコ,たこ,wnja:07782365-n
うなぎ,うなぎ,wnja:07783967-n
胡瓜,きゅうり,wnja:07718472-n
ナス,なす,wnja:07713074-n
バナナ,ばなな,wnja:07753592-n
リンゴ,りんご,wnja:07739125-n
味の素,あじのもと,wnja:07828378-n
いちじく,いちじく,wnja:07753113-n
ニンニク,にんにく,wnja:07818277-n
薩摩芋,さつまいも,wnja:07712063-n
ウィスキー,うぃすきー,wnja:07906284-n
モルトウイスキー,もるとういすきー,wnja:07907548-n
キウイフルーツ,きういふるーつ,wnja:07763629-n
メロン,めろん,wnja:07755411-n
パイナップル,ぱいなっぷる,wnja:07753275-n
パインジュース,ぱいんじゅーす,wnja:07925116-n
マグロ,まぐろ,wnja:07780627-n
マンゴー,まんごー,wnja:07764155-n
サクランボ,さくらんぼ,wnja:07757132-n
お冷,おひや,wnja:07936263-n
甜菜糖,てんさいとう,wnja:07596258-n
唐茄子,とうなす,wnja:07735510-n
ペプシ,ぺぷし,wnja:07928790-n
ビヤ,びや,wnja:07886849-n
アブサン,あぶさん,wnja:07908411-n
山葵,わさび,wnja:07857356-n
ニシン,にしん,wnja:07784522-n
アンズ,あんず,wnja:07750872-n
ベーグル,べーぐる,wnja:07693725-n
サケ,さけ,wnja:07795751-n
ラム酒,らむしゅ,wnja:07905038-n
ビワ,びわ,wnja:07763792-n
レイシ,れいし,wnja:07766173-n
バニラ,ばにら,wnja:07828807-n
いか,いか,wnja:07781801-n
カルボナーラ,かるぼなーら,wnja:07831146-n
グアバ,ぐあば,wnja:07765361-n
ウォッカ,うぉっか,wnja:07906111-n
シナモン,しなもん,wnja:07814203-n
アイスクリーム,あいすくりーむ,wnja:07614500-n
イチゴ,いちご,wnja:07745940-n
天ぷら,てんぷら,wnja:07879953-n
クスクス,くすくす,wnja:07701597-n|07937461-n
エスカルゴ,えすかるご,wnja:07782475-n
マス,ます,wnja:07794452-n|07794744-n
ロブスター,ろぶすたー,wnja:07792725-n
プレッツェル,ぷれっつぇる,wnja:07695742-n
玉葱,たまねぎ,wnja:07722217-n
カツオ,かつお,wnja:07781022-n
マンゴスチン,まんごすちん,wnja:07763987-n
ハンバーガー,はんばーがー,wnja:07697100-n
味噌,みそ,wnja:07857170-n
ブロッコリ,ぶろっこり,wnja:07714990-n
清酒,せいしゅ,wnja:07891433-n
パン,ぱん,wnja:07679356-n
トルティーヤ,とるてぃーや,wnja:07880583-n
カニ,かに,wnja:07787715-n
カステラ,かすてら,wnja:07632037-n
腸詰,ちょうづめ,wnja:07675627-n
ウインナーソーセージ,ういんなーそーせーじ,wnja:07676855-n
フランクフルトソーセージ,ふらんくふるとそーせーじ,wnja:07675627-n|07676602-n
ガスパチョ,がすぱちょ,wnja:07585758-n
バジル,ばじる,wnja:07816164-n
タバスコ,たばすこ,wnja:07826091-n|07839312-n
ルバーブ,るばーぶ,wnja:07713267-n
カレー,かれー,wnja:07823951-n
ミカン,みかん,wnja:07747607-n
胡椒,こしょう,wnja:07815588-n
黒コショウ,くろこしょう,wnja:07815839-n
ホワイトペッパー,ほわいとぺっぱー,wnja:07815956-n
パエリャ,ぱえりゃ,wnja:07591961-n
ボラ,ぼら,wnja:07784367-n
テキーラ,てきーら,wnja:07905979-n
ウズラ,うずら,wnja:07647321-n
ブドウ,ぶどう,wnja:07758680-n
大豆,だいず,wnja:07729485-n
マヨネーズ,まよねーず,wnja:07834507-n
唐辛子,とうがらし,wnja:07822518-n
ハンバーグステーキ,はんばーぐすてーき,wnja:07664121-n
ワカモレ,わかもれ,wnja:07583066-n
氷水,こおりみず,wnja:07936459-n
フラッペ,ふらっぺ,wnja:07614198-n
火酒,かしゅ,wnja:07901587-n
乾酪,かんらく,wnja:07850329-n
コイ,こい,wnja:07779123-n
アーティチョーク,あーてぃちょーく,wnja:07718747-n
パプリカ,ぱぷりか,wnja:07824702-n
コーラ,こーら,wnja:07927931-n
ポテトチップ,ぽてとちっぷ,wnja:07712559-n
クランベリー,くらんべりー,wnja:07743902-n
食塩,しょくえん,wnja:07813107-n
ニジマス,にじます,wnja:07794605-n
スパム,すぱむ,wnja:07573347-n
カルダモン,かるだもん,wnja:07822323-n
トニックウォーター,とにっくうぉーたー,wnja:07929172-n
生姜,しょうが,wnja:07814925-n
チョコレート,ちょこれーと,wnja:07601999-n|07922764-n
ハイボール,はいぼーる,wnja:07912211-n
ドリアン,どりあん,wnja:07762913-n
ボルシチ,ぼるしち,wnja:07584423-n
インゲンマメ,いんげんまめ,wnja:07726796-n|07727048-n
アルコール,あるこーる,wnja:07884567-n|07901587-n
レモン,れもん,wnja:07749582-n
レモンジュース,れもんじゅーす,wnja:07925229-n
マティーニ,まてぃーに,wnja:07916041-n
ナシ,なし,wnja:07767847-n
焼きそば,やきそば,wnja:07865484-n
サバ,さば,wnja:07781319-n
丁子,ちょうじ,wnja:07814487-n
