surface,reading,source_ref
スイカ,すいか,wnja:07756951-n
アボカド,あぼかど,wnja:07764847-n
モモ,もも,wnja:07751004-n
バナナ,ばなな,wnja:07753592-n
林檎,りんご,wnja:07739125-n|07739506-n
パッションフルーツ,ぱっしょんふるーつ,wnja:07753743-n
いちじく,いちじく,wnja:07753113-n
キウイフルーツ,きういふるーつ,wnja:07763629-n
メロン,めろん,wnja:07755411-n
パイナップル,ぱいなっぷる,wnja:07753275-n
マンゴー,まんごー,wnja:07764155-n
サクランボ,さくらんぼ,wnja:07757132-n
アンズ,あんず,wnja:07750872-n
ビワ,びわ,wnja:07763792-n
レイシ,れいし,wnja:07766173-n
グアバ,ぐあば,wnja:07765361-n
イチゴ,いちご,wnja:07745940-n
マンゴスチン,まんごすちん,wnja:07763987-n
蜜柑,みかん,wnja:07747055-n|07747951-n|07748276-n
ブドウ,ぶどう,wnja:07758680-n
クルミ,くるみ,wnja:07771212-n
クランベリー,くらんべりー,wnja:07743902-n
ドリアン,どりあん,wnja:07762913-n
レモン,れもん,wnja:07749582-n
アーモンド,あーもんど,wnja:07750586-n
ナシ,なし,wnja:07767847-n
ピスタチオ,ぴすたちお,wnja:07775050-n
オリーブ,おりーぶ,wnja:07767344-n
落花生,らっかせい,wnja:07737745-n
ラズベリー,らずべりー,wnja:07745466-n
プルーン,ぷるーん,wnja:07752602-n
苔桃,こけもも,wnja:07744057-n
カシス,かしす,wnja:07744559-n
柑橘類,かんきつるい,wnja:07747055-n
ポポー,ぽぽー,wnja:07760859-n
ザボン,ざぼん,wnja:07750146-n
団栗,どんぐり,wnja:12267677-n
果物,くだもの,wnja:07705931-n
タマリンド,たまりんど,wnja:07764630-n
パパイヤ,ぱぱいや,wnja:07762244-n
果実,かじつ,wnja:07742704-n|13134947-n|13137409-n
ブラックベリー,ぶらっくべりー,wnja:07744811-n
グレープフルーツ,ぐれーぷふるーつ,wnja:07749969-n
オレンジ,おれんじ,wnja:07747607-n|07748912-n
マンダリン,まんだりん,wnja:07747951-n
キンカン,きんかん,wnja:07749446-n
アセロラ,あせろら,wnja:07746334-n
ライム,らいむ,wnja:07749731-n
マルメロ,まるめろ,wnja:07769584-n
ヘーゼルナッツ,へーぜるなっつ,wnja:07772788-n
ナッツ,なっつ,wnja:13136556-n
ローズヒップ,ろーずひっぷ,wnja:12620546-n
シトロン,しとろん,wnja:07750449-n
ランブータン,らんぶーたん,wnja:07769731-n
ベリー,べりー,wnja:07742704-n
マスカット,ますかっと,wnja:07760153-n
マスクメロン,ますくめろん,wnja:07755707-n|07755929-n
グーズベリー,ぐーずべりー,wnja:07744430-n
ハックルベリー,はっくるべりー,wnja:07743384-n
ダイダイ,だいだい,wnja:07748753-n
