surface,reading,source_ref
ギター,ぎたー,wnja:03467517-n
ピアノ,ぴあの,wnja:03928116-n
提琴,ていきん,wnja:04536866-n
サックス,さっくす,wnja:04141076-n
ファゴット,ふぁごっと,wnja:02804610-n
コントラバス,こんとらばす,wnja:02803934-n
クラリオン,くらりおん,wnja:03037899-n
シンセサイザー,しんせさいざー,wnja:04376400-n
チェンバロ,ちぇんばろ,wnja:03496296-n
フルート,ふるーと,wnja:03372029-n
電気ギター,でんきぎたー,wnja:03272010-n
バリトン,ばりとん,wnja:02793089-n
風琴,ふうきん,wnja:02701730-n|03494537-n|03854065-n
オルガン,おるがん,wnja:03494537-n|03854065-n
パイプオルガン,ぱいぷおるがん,wnja:03854065-n
リードオルガン,りーどおるがん,wnja:03494537-n
チェロ,ちぇろ,wnja:02992211-n
パーカッション,ぱーかっしょん,wnja:03915437-n
クラリネット,くらりねっと,wnja:03037709-n
トロンボーン,とろんぼーん,wnja:04487394-n
手風琴,てふうきん,wnja:02672831-n
ハーモニカ,はーもにか,wnja:03494278-n
アコースティックギター,あこーすてぃっくぎたー,wnja:02676566-n
マンドリン,まんどりん,wnja:03716966-n
ビオラ,びおら,wnja:04536335-n
チューバ,ちゅーば,wnja:02804252-n
バラライカ,ばららいか,wnja:02776978-n
オカリナ,おかりな,wnja:03840681-n
エレクトーン,えれくとーん,wnja:03273551-n
オーボエ,おーぼえ,wnja:03838899-n
バンジョー,ばんじょー,wnja:02787622-n
金管,きんかん,wnja:02891788-n
バグパイプ,ばぐぱいぷ,wnja:02775483-n
シタール,したーる,wnja:04224842-n
弦楽器,げんがっき,wnja:04338517-n
コルネット,こるねっと,wnja:03110669-n
木管楽器,もっかんがっき,wnja:04598582-n
ウクレレ,うくれれ,wnja:04506289-n
楽器,がっき,wnja:03800933-n
スネアドラム,すねあどらむ,wnja:04249415-n
ビブラフォン,びぶらふぉん,wnja:04532831-n
イングリッシュホルン,いんぐりっしゅほるん,wnja:03288742-n
オルゴール,おるごーる,wnja:03801353-n
タンバリン,たんばりん,wnja:04387400-n
カズー,かずー,wnja:03609397-n
マリンバ,まりんば,wnja:03721384-n
シンバル,しんばる,wnja:03157348-n
チェレスタ,ちぇれすた,wnja:02990758-n
ピッコロ,ぴっころ,wnja:03929091-n
ボンゴ,ぼんご,wnja:02869737-n
スチールギター,すちーるぎたー,wnja:03499907-n
カスタネット,かすたねっと,wnja:02869249-n
ダルシマー,だるしまー,wnja:03254737-n|03254862-n
バスドラム,ばすどらむ,wnja:02803666-n
カリヨン,かりよん,wnja:02965529-n
バスクラリネット,ばすくらりねっと,wnja:02803539-n
タムタム,たむたむ,wnja:03447721-n
ツィター,つぃたー,wnja:04615226-n
クラビコード,くらびこーど,wnja:03038870-n
グランドピアノ,ぐらんどぴあの,wnja:03086457-n|03452741-n
サクソルン,さくそるん,wnja:04141198-n
アップライトピアノ,あっぷらいとぴあの,wnja:04515003-n
チャイム,ちゃいむ,wnja:03017168-n
コントラファゴット,こんとらふぁごっと,wnja:03096439-n
竪琴,たてごと,wnja:03495258-n
ミュゼット,みゅぜっと,wnja:03800371-n
ドラム,どらむ,wnja:03249569-n
ゴング,ごんぐ,wnja:03017168-n|03447721-n
ハンドベル,はんどべる,wnja:03483230-n
横笛,よこぶえ,wnja:03334492-n
