surface,reading,source_ref
ズッキーニ,ずっきーに,wnja:12159804-n
紫陽花,あじさい,wnja:12788201-n
シオン,しおん,wnja:11934807-n
玉蜀黍,とうもろこし,wnja:12143676-n
スイートコーン,すいーとこーん,wnja:12144742-n
トマト,とまと,wnja:12905817-n
アガパンサス,あがぱんさす,wnja:12429148-n|12429352-n
ポテト,ぽてと,wnja:12897493-n
コリアンダー,こりあんだー,wnja:12936469-n
スイカ,すいか,wnja:12164065-n
向日葵,ひまわり,wnja:11978233-n
竜舌蘭,りゅうぜつらん,wnja:12476510-n
木槿,むくげ,wnja:12174311-n
勿忘草,わすれなぐさ,wnja:12822115-n
酸漿,ほおずき,wnja:12896862-n|12910875-n
ライラック,らいらっく,wnja:12310349-n
ハス,はす,wnja:11717399-n
ネムノキ,ねむのき,wnja:11759404-n
キュウリ,きゅうり,wnja:12165384-n
モモ,もも,wnja:12648045-n
ナス,なす,wnja:12896000-n
バナナ,ばなな,wnja:12352287-n|12353203-n
林檎,りんご,wnja:12633638-n
立葵,たちあおい,wnja:12173664-n
イチジク,いちじく,wnja:12401335-n|12401684-n
ユリ,ゆり,wnja:12426248-n
アサガオ,あさがお,wnja:12826516-n
ニンニク,にんにく,wnja:12434775-n
サツマイモ,さつまいも,wnja:12827684-n
百日紅,さるすべり,wnja:12329260-n
トリカブト,とりかぶと,wnja:11722982-n|11723452-n
木天蓼,またたび,wnja:12371704-n
パイナップル,ぱいなっぷる,wnja:12607456-n
煙草,たばこ,wnja:12907465-n
マンゴー,まんごー,wnja:12761284-n
ピーマン,ぴーまん,wnja:12900462-n|12901264-n
ラベンダー,らべんだー,wnja:12849717-n
土筆,つくし,wnja:13219422-n
杉菜,すぎな,wnja:13219833-n
テンサイ,てんさい,wnja:11833073-n
サクラ,さくら,wnja:12641413-n
カボチャ,かぼちゃ,wnja:12158798-n
公孫樹,いちょう,wnja:11664418-n
わさび,わさび,wnja:11899921-n
アンズ,あんず,wnja:12640607-n
オニユリ,おにゆり,wnja:12427184-n|12427566-n
ケシ,けし,wnja:11900569-n
ビワ,びわ,wnja:12629666-n
茘枝,れいし,wnja:12744387-n
バニラ,ばにら,wnja:12086539-n
泰山木,たいさんぼく,wnja:11710136-n
グアバ,ぐあば,wnja:12333530-n
ツバキ,つばき,wnja:12929403-n
イチゴ,いちご,wnja:12630144-n
フヨウ,ふよう,wnja:12179122-n
マンドレーク,まんどれーく,wnja:12906498-n
スベリヒユ,すべりひゆ,wnja:11857320-n|11857696-n|11858077-n
スイレン,すいれん,wnja:11714853-n
玉葱,たまねぎ,wnja:12432808-n
花水木,はなみずき,wnja:12947313-n
ギボウシ,ぎぼうし,wnja:12457771-n
タンポポ,たんぽぽ,wnja:12024176-n
栴檀,せんだん,wnja:12553742-n
マンゴスチン,まんごすちん,wnja:12366675-n
山桃,やまもも,wnja:11741350-n
ソテツ,そてつ,wnja:11600372-n|11601177-n
ブロッコリ,ぶろっこり,wnja:11876803-n
ルイボス,るいぼす,wnja:12507823-n
バジル,ばじる,wnja:12860365-n
ジギタリス,じぎたりす,wnja:12882779-n
蜜柑,みかん,wnja:12710577-n
胡椒,こしょう,wnja:13149506-n
ダイズ,だいず,wnja:12532168-n
クワ,くわ,wnja:12399132-n
ヒョウタン,ひょうたん,wnja:12157769-n
イチイ,いちい,wnja:11661372-n
パプリカ,ぱぷりか,wnja:12901264-n
牛蒡,ごぼう,wnja:11924445-n
カラムシ,からむし,wnja:12393269-n
クランベリー,くらんべりー,wnja:12245695-n
ローズマリー,ろーずまりー,wnja:12864160-n
カルダモン,かるだもん,wnja:12358293-n
リンドウ,りんどう,wnja:12293723-n
生姜,しょうが,wnja:12355760-n
バラ,ばら,wnja:12620196-n
アカシア,あかしあ,wnja:11756092-n
サボテン,さぼてん,wnja:11842204-n
ドリアン,どりあん,wnja:12190869-n
インゲンマメ,いんげんまめ,wnja:12556793-n|12557064-n
レモン,れもん,wnja:12711596-n
ユウガオ,ゆうがお,wnja:12166128-n
アーモンド,あーもんど,wnja:12645174-n
クヌギ,くぬぎ,wnja:12268246-n
ピスタチオ,ぴすたちお,wnja:12761702-n
丁子,ちょうじ,wnja:12339526-n
ハルジオン,はるじおん,wnja:11966896-n
レタス,れたす,wnja:11986306-n
カカオ,かかお,wnja:12201580-n
ホウレンソウ,ほうれんそう,wnja:11835568-n
キャベツ,きゃべつ,wnja:11875691-n|11875938-n
