surface,reading,source_ref
蹴球,しゅうきゅう,wnja:00468480-n|00478262-n
サッカー,さっかー,wnja:00478262-n
排球,はいきゅう,wnja:00480211-n
野球,やきゅう,wnja:00471613-n|00476140-n
籠球,ろうきゅう,wnja:00480993-n
クリケット,くりけっと,wnja:00476389-n
アメフト,あめふと,wnja:00469651-n
大相撲,おおずもう,wnja:00448232-n
ノーヒットノーラン,のーひっとのーらん,wnja:00475014-n
柔道,じゅうどう,wnja:00825773-n
ボクシング,ぼくしんぐ,wnja:00445802-n
プロレス,ぷろれす,wnja:00448126-n
庭球,ていきゅう,wnja:00482298-n
スポーツ,すぽーつ,wnja:00523513-n
ハンドボール,はんどぼーる,wnja:00479440-n
ゴルフ,ごるふ,wnja:00464894-n
競馬,けいば,wnja:00450070-n
ポロ,ぽろ,wnja:00477639-n
ラクロス,らくろす,wnja:00477392-n
水泳,すいえい,wnja:00442115-n|00442437-n
泳ぎ,およぎ,wnja:00442115-n
闘牛,とうぎゅう,wnja:00452034-n
アイスホッケー,あいすほっけー,wnja:00463543-n
闘鶏,とうけい,wnja:00452152-n
狩猟,しゅりょう,wnja:00452293-n
釣魚,ちょうぎょ,wnja:00453935-n
波乗り,なみのり,wnja:00445055-n
フィールドホッケー,ふぃーるどほっけー,wnja:00467995-n
ウォーターポロ,うぉーたーぽろ,wnja:00464478-n
スキー,すきー,wnja:00440747-n
アーチェリー,あーちぇりー,wnja:00446980-n
漕艇,そうてい,wnja:00445351-n
馬術,ばじゅつ,wnja:00288000-n
レスリング,れすりんぐ,wnja:00447540-n
体操,たいそう,wnja:00433802-n
アクロバット,あくろばっと,wnja:00434075-n
ローラースケート,ろーらーすけーと,wnja:00448958-n
クロッケー,くろっけー,wnja:00466880-n
アスレチックス,あすれちっくす,wnja:00463246-n
ラグビー,らぐびー,wnja:00470966-n
ナイター,ないたー,wnja:00456563-n
フライフィッシング,ふらいふぃっしんぐ,wnja:00454395-n
スピードスケート,すぴーどすけーと,wnja:00449168-n
ハイアライ,はいあらい,wnja:00480366-n
デーゲーム,でーげーむ,wnja:00456465-n
岩登り,いわのぼり,wnja:00326094-n
スパーリング,すぱーりんぐ,wnja:00446804-n
スケート,すけーと,wnja:00448466-n
競走,きょうそう,wnja:00449295-n
サイクリング,さいくりんぐ,wnja:00451370-n
スキンダイビング,すきんだいびんぐ,wnja:00444651-n
ダブルス,だぶるす,wnja:00483508-n|00483605-n
ラウンド,らうんど,wnja:00466377-n
ラケットボール,らけっとぼーる,wnja:00479616-n
トラック,とらっく,wnja:00439826-n
羽子板,はごいた,wnja:00480885-n
綱渡り,つなわたり,wnja:00324978-n
輪投げ,わなげ,wnja:00467320-n
シャッフルボード,しゃっふるぼーど,wnja:00467536-n
マッチプレー,まっちぷれー,wnja:00466630-n
