surface,reading,source_ref
ズッキーニ,ずっきーに,wnja:07716358-n
トマト,とまと,wnja:07734017-n
じゃが芋,じゃがいも,wnja:07710616-n
胡瓜,きゅうり,wnja:07718472-n
ナス,なす,wnja:07713074-n
薩摩芋,さつまいも,wnja:07712063-n
ピーマン,ぴーまん,wnja:07720875-n|07721018-n|07721195-n
唐茄子,とうなす,wnja:07735510-n
玉葱,たまねぎ,wnja:07722217-n
ブロッコリ,ぶろっこり,wnja:07714990-n
ルバーブ,るばーぶ,wnja:07713267-n
大豆,だいず,wnja:07729485-n
アーティチョーク,あーてぃちょーく,wnja:07718747-n
インゲンマメ,いんげんまめ,wnja:07726796-n|07727048-n
レタス,れたす,wnja:07723559-n
法蓮草,ほうれんそう,wnja:07736692-n
玉菜,たまな,wnja:07713895-n
キャベツ,きゃべつ,wnja:07713895-n|07714571-n
スズシロ,すずしろ,wnja:07735687-n
トリュフ,とりゅふ,wnja:07736971-n
アスパラガス,あすぱらがす,wnja:07719213-n
人参,にんじん,wnja:07730207-n
ヒヨコマメ,ひよこまめ,wnja:07726095-n
フェンネル,ふぇんねる,wnja:07817871-n
里芋,さといも,wnja:07736813-n
ヤマノイモ,やまのいも,wnja:07711907-n
野菜,やさい,wnja:07707451-n
ササゲ,ささげ,wnja:07726672-n
セロリ,せろり,wnja:07730406-n
竹の子,たけのこ,wnja:07719330-n
カラシナ,からしな,wnja:07713763-n
トウガラシ,とうがらし,wnja:07722052-n
マッシュルーム,まっしゅるーむ,wnja:07734744-n
青梗菜,ちんげんさい,wnja:07714448-n
シャロット,しゃろっと,wnja:07723177-n
ギシギシ,ぎしぎし,wnja:07736371-n
グリーンピース,ぐりーんぴーす,wnja:07725531-n
不断草,ふだんそう,wnja:07720277-n
リーキ,りーき,wnja:07723039-n
チコリ,ちこり,wnja:07730855-n
カリフラワー,かりふらわー,wnja:07715103-n
クレソン,くれそん,wnja:07732904-n
根菜,こんさい,wnja:07710283-n
ペポカボチャ,ぺぽかぼちゃ,wnja:07715721-n|07735510-n
コールラビ,こーるらび,wnja:07733567-n
パースニップ,ぱーすにっぷ,wnja:07735404-n
レッドキャベツ,れっどきゃべつ,wnja:07714802-n
葉物,はもの,wnja:07709333-n
ピメント,ぴめんと,wnja:07721195-n
エンダイブ,えんだいぶ,wnja:07731587-n
鶉豆,うずらまめ,wnja:07727252-n
コショウソウ,こしょうそう,wnja:07733005-n
ビート,びーと,wnja:07719839-n
アカザ,あかざ,wnja:07733712-n|07733847-n
ガンボ,がんぼ,wnja:07733394-n
