surface,reading,source_ref
エアバス,えあばす,wnja:02686121-n
空母,くうぼ,wnja:02687172-n
潜水艦,せんすいかん,wnja:04347754-n|04348184-n
戦闘機,せんとうき,wnja:03335030-n
郵船,ゆうせん,wnja:03710079-n
ヘリコプタ,へりこぷた,wnja:03512147-n
戦艦,せんかん,wnja:02812201-n
戦車,せんしゃ,wnja:04389033-n
駆逐艦,くちくかん,wnja:03180504-n
海賊船,かいぞくせん,wnja:03947888-n
蒸気機関車,じょうききかんしゃ,wnja:04310018-n
自動車,じどうしゃ,wnja:02958343-n|03791235-n
路面電車,ろめんでんしゃ,wnja:04335435-n
ジープ,じーぷ,wnja:03594945-n
ターボプロップ,たーぼぷろっぷ,wnja:04012482-n
オートバイ,おーとばい,wnja:03790512-n
パトカー,ぱとかー,wnja:03141065-n
巡洋艦,じゅんようかん,wnja:02811618-n|03140900-n
爆撃機,ばくげきき,wnja:02867715-n
飛行機,ひこうき,wnja:02686568-n|02691156-n
セダン,せだん,wnja:04166281-n
ホバークラフト,ほばーくらふと,wnja:03547229-n
クーペ,くーぺ,wnja:03119396-n
特攻機,とっこうき,wnja:03608074-n
軍艦,ぐんかん,wnja:02812201-n|03718212-n|04552696-n
巡視船,じゅんしせん,wnja:03900194-n
飛行艇,ひこうてい,wnja:03373611-n
コルベット,こるべっと,wnja:03113035-n
ステーションワゴン,すてーしょんわごん,wnja:02814533-n|04201733-n
鉄道車両,てつどうしゃりょう,wnja:02959942-n
スループ,するーぷ,wnja:04242408-n
ロケット,ろけっと,wnja:04099429-n
自転車,じてんしゃ,wnja:02834778-n|04026813-n
食堂車,しょくどうしゃ,wnja:03200357-n
ハッチバック,はっちばっく,wnja:03498781-n
運搬車,うんぱんしゃ,wnja:02970100-n
四駆,よんく,wnja:03389761-n
フェリー,ふぇりー,wnja:03329663-n
装甲車,そうこうしゃ,wnja:02739889-n|02740061-n|02740533-n
はしけ,はしけ,wnja:02792552-n
掃海艇,そうかいてい,wnja:03769100-n
リムジン,りむじん,wnja:03670208-n
オートジャイロ,おーとじゃいろ,wnja:02759387-n
チャリオット,ちゃりおっと,wnja:03009111-n|03009269-n
タクシー,たくしー,wnja:02930766-n
水上機,すいじょうき,wnja:04160586-n
馬車,ばしゃ,wnja:02968473-n|04543158-n
偵察機,ていさつき,wnja:04062644-n
力車,りきしゃ,wnja:03599486-n
フォークリフト,ふぉーくりふと,wnja:03384352-n
カブリオレ,かぶりおれ,wnja:02931013-n
オープンカー,おーぷんかー,wnja:03100240-n
ハードトップ,はーどとっぷ,wnja:03493219-n
スクータ,すくーた,wnja:03791053-n
複葉機,ふくようき,wnja:02842573-n
水中翼船,すいちゅうよくせん,wnja:03552749-n
トラクター,とらくたー,wnja:04465501-n|04465666-n
引船,ひきふね,wnja:04495843-n
ダンプカー,だんぷかー,wnja:03256166-n
汽船,きせん,wnja:04309348-n
ヨット,よっと,wnja:04610013-n
輸送船,ゆそうせん,wnja:04474187-n
ジェット機,じぇっとき,wnja:03595860-n
気球,ききゅう,wnja:02782093-n
鉄道馬車,てつどうばしゃ,wnja:03538300-n
グライダー,ぐらいだー,wnja:03439814-n
病院船,びょういんせん,wnja:03541269-n
タンカー,たんかー,wnja:03845190-n
小型自動車,こがたじどうしゃ,wnja:03079136-n
スケートボード,すけーとぼーど,wnja:04225987-n
ハンググライダー,はんぐぐらいだー,wnja:03491032-n
キャラバン,きゃらばん,wnja:04520382-n
ポンツーン,ぽんつーん,wnja:03981566-n
モーターホーム,もーたーほーむ,wnja:02946348-n
ボブスレー,ぼぶすれー,wnja:02860847-n|02861022-n
モーターカー,もーたーかー,wnja:02958343-n
客車,きゃくしゃ,wnja:03895866-n
トレーラーハウス,とれーらーはうす,wnja:04467099-n|04520382-n
乗物,のりもの,wnja:04524313-n
レーシングカー,れーしんぐかー,wnja:04037443-n
カヌー,かぬー,wnja:02951358-n
外輪船,がいりんせん,wnja:03874138-n
オーニソプター,おーにそぷたー,wnja:03857156-n
潜水艇,せんすいてい,wnja:04347754-n
ロードローラー,ろーどろーらー,wnja:04310157-n
刳舟,くりふね,wnja:03254374-n
熱気球,ねつききゅう,wnja:03541923-n
消防車,しょうぼうしゃ,wnja:03345487-n
マウンテンバイク,まうんてんばいく,wnja:03792782-n
トロイカ,とろいか,wnja:04486616-n
犬橇,いぬぞり,wnja:03218198-n
貨物船,かもつせん,wnja:02878222-n|02965216-n
恒星船,こうせいせん,wnja:04304215-n
トロール船,とろーるせん,wnja:04476116-n
護送車,ごそうしゃ,wnja:03977966-n
モーターボート,もーたーぼーと,wnja:03790230-n
短艇,たんてい,wnja:02858304-n
トリマラン,とりまらん,wnja:04483307-n
レッカー,れっかー,wnja:04461696-n
ギグ,ぎぐ,wnja:03436656-n|03436772-n|03436891-n
