surface,reading,theme_ids,source_kind,source_ref
キリン,きりん,animal|nature,reviewed,wnja:02439033-n
ギター,ぎたー,instrument|music,reviewed,wnja:03467517-n
クジラ,くじら,animal|nature,reviewed,wnja:02062744-n
熊,くま,animal|nature,auto,wnja:1.1-compatible-roots-v2
公園,こうえん,place_building,auto,wnja:1.1-compatible-roots-v2
コアラ,こあら,animal|nature,reviewed,wnja:01882714-n
コーヒー,こーひー,food,auto,wnja:1.1-compatible-roots-v2
西瓜,すいか,food|plant|fruit,reviewed,manual:user-food-v1
寿司,すし,food,auto,wnja:1.1-compatible-roots-v2
太鼓,たいこ,instrument|music,auto,wnja:1.1-compatible-roots-v2
机,つくえ,daily_tools,auto,wnja:1.1-compatible-roots-v2
トマト,とまと,food|plant|vegetable,reviewed,wnja:07734017-n|wnja:12905817-n
鳥,とり,animal|nature,auto,wnja:1.1-compatible-roots-v2
庭,にわ,place_building,auto,wnja:1.1-compatible-roots-v2
猫,ねこ,animal|nature,auto,wnja:1.1-compatible-roots-v2
鼠,ねずみ,animal|nature,auto,wnja:1.1-compatible-roots-v2
飛行機,ひこうき,vehicle,reviewed,wnja:02686568-n|wnja:02691156-n
船,ふね,vehicle,auto,wnja:1.1-compatible-roots-v2
蛇,へび,animal|nature,auto,wnja:1.1-compatible-roots-v2
帽子,ぼうし,clothing,auto,wnja:1.1-compatible-roots-v2
蜜柑,みかん,food|plant|fruit,reviewed,manual:user-food-v1|wnja:07747055-n|wnja:07747951-n|wnja:07748276-n|wnja:12710577-n
野菜,やさい,food|plant|vegetable,reviewed,wnja:07707451-n
洋服,ようふく,clothing,auto,wnja:1.1-compatible-roots-v2
林檎,りんご,food|plant|fruit,reviewed,manual:user-food-v1|wnja:07739125-n|wnja:07739506-n|wnja:12633638-n
檸檬,れもん,food|fruit,auto,wnja:1.1-compatible-roots-v2
ウサギ,うさぎ,animal,reviewed,wnja:02324045-n
ゴマ,ごま,plant|nature,auto,wnja:1.1-compatible-roots-v2
自転車,じてんしゃ,vehicle,reviewed,wnja:02834778-n|wnja:04026813-n
兄,あに,person_job,auto,wnja:1.1-compatible-roots-v2
夫,おっと,person_job,auto,wnja:1.1-compatible-roots-v2
女,おんな,person_job,auto,wnja:1.1-compatible-roots-v2
妹,いもうと,person_job,auto,wnja:1.1-compatible-roots-v2
姉,あね,person_job,auto,wnja:1.1-compatible-roots-v2
娘,むすめ,person_job,auto,wnja:1.1-compatible-roots-v2
川,かわ,nature|place_building,auto,wnja:1.1-compatible-roots-v2
弟,おとうと,person_job,auto,wnja:1.1-compatible-roots-v2
服,ふく,clothing,auto,wnja:1.1-compatible-roots-v2
男,おとこ,person_job,auto,wnja:1.1-compatible-roots-v2
肌,はだ,body,auto,wnja:1.1-compatible-roots-v2
胃,い,body,auto,wnja:1.1-compatible-roots-v2
親,おや,person_job,auto,wnja:1.1-compatible-roots-v2
酒,さけ,food,auto,wnja:1.1-compatible-roots-v2
飯,めし,food,auto,wnja:1.1-compatible-roots-v2
おじ,おじ,person_job,auto,wnja:1.1-compatible-roots-v2
お腹,おなか,body,auto,wnja:1.1-compatible-roots-v2
お茶,おちゃ,food,auto,wnja:1.1-compatible-roots-v2
ご飯,ごはん,food,auto,wnja:1.1-compatible-roots-v2
パン,ぱん,food,reviewed,wnja:07679356-n
主人,しゅじん,person_job,auto,wnja:1.1-compatible-roots-v2
兄弟,きょうだい,person_job,auto,wnja:1.1-compatible-roots-v2
先生,せんせい,person_job,auto,wnja:1.1-compatible-roots-v2
医者,いしゃ,person_job,auto,wnja:1.1-compatible-roots-v2
友達,ともだち,person_job,auto,wnja:1.1-compatible-roots-v2
味噌,みそ,food,reviewed,wnja:07857170-n
大人,おとな,person_job,auto,wnja:1.1-compatible-roots-v2
天気,てんき,nature,auto,wnja:1.1-compatible-roots-v2
子供,こども,person_job,auto,wnja:1.1-compatible-roots-v2
学生,がくせい,person_job,auto,wnja:1.1-compatible-roots-v2
店員,てんいん,person_job,auto,wnja:1.1-compatible-roots-v2
息子,むすこ,person_job,auto,wnja:1.1-compatible-roots-v2
晴れ,はれ,nature,auto,wnja:1.1-compatible-roots-v2
果実,かじつ,food|fruit,reviewed,wnja:07742704-n|wnja:13134947-n|wnja:13137409-n
果物,くだもの,food|fruit,reviewed,wnja:07705931-n
牛乳,ぎゅうにゅう,food,auto,wnja:1.1-compatible-roots-v2
生徒,せいと,person_job,auto,wnja:1.1-compatible-roots-v2
砂糖,さとう,food,auto,wnja:1.1-compatible-roots-v2
祖母,そぼ,person_job,auto,wnja:1.1-compatible-roots-v2
祖父,そふ,person_job,auto,wnja:1.1-compatible-roots-v2
紅茶,こうちゃ,food,auto,wnja:1.1-compatible-roots-v2
自分,じぶん,person_job,auto,wnja:1.1-compatible-roots-v2
菓子,かし,food,auto,wnja:1.1-compatible-roots-v2
靴下,くつした,clothing,auto,wnja:1.1-compatible-roots-v2
食事,しょくじ,food,auto,wnja:1.1-compatible-roots-v2
ビール,びーる,food,auto,wnja:1.1-compatible-roots-v2
ミルク,みるく,food,auto,wnja:1.1-compatible-roots-v2
冷蔵庫,れいぞうこ,daily_tools,auto,wnja:1.1-compatible-roots-v2
同級生,どうきゅうせい,person_job,auto,wnja:1.1-compatible-roots-v2
外国人,がいこくじん,person_job,auto,wnja:1.1-compatible-roots-v2
昼ご飯,ひるごはん,food,auto,wnja:1.1-compatible-roots-v2
晩ご飯,ばんごはん,food,auto,wnja:1.1-compatible-roots-v2
朝ご飯,あさごはん,food,auto,wnja:1.1-compatible-roots-v2
男の子,おとこのこ,person_job,auto,wnja:1.1-compatible-roots-v2
自動車,じどうしゃ,vehicle,reviewed,wnja:02958343-n|wnja:03791235-n
食べ物,たべもの,food,auto,wnja:1.1-compatible-roots-v2
飲み物,のみもの,food,auto,wnja:1.1-compatible-roots-v2
お姉さん,おねえさん,person_job,auto,wnja:1.1-compatible-roots-v2
お父さん,おとうさん,person_job,auto,wnja:1.1-compatible-roots-v2
アメリカ,あめりか,country,auto,wnja:1.1-compatible-roots-v2
オレンジ,おれんじ,fruit,reviewed,wnja:07747607-n|wnja:07748912-n
レストラン,れすとらん,place_building,auto,wnja:1.1-compatible-roots-v2
丘,おか,nature|place_building,auto,wnja:1.1-compatible-roots-v2
友,とも,person_job,auto,wnja:1.1-compatible-roots-v2
唇,くちびる,body,auto,wnja:1.1-compatible-roots-v2
姪,めい,person_job,auto,wnja:1.1-compatible-roots-v2
嫁,よめ,person_job,auto,wnja:1.1-compatible-roots-v2
孫,まご,person_job,auto,wnja:1.1-compatible-roots-v2
岸,きし,nature|place_building,auto,wnja:1.1-compatible-roots-v2
梅,うめ,food|plant|fruit,auto,wnja:1.1-compatible-roots-v2
歌,うた,music,auto,wnja:1.1-compatible-roots-v2
池,いけ,nature|place_building,auto,wnja:1.1-compatible-roots-v2
湖,みずうみ,nature|place_building,auto,wnja:1.1-compatible-roots-v2
滝,たき,nature|place_building,auto,wnja:1.1-compatible-roots-v2
瞼,まぶた,body,auto,wnja:1.1-compatible-roots-v2
稲,いね,food|plant,auto,wnja:1.1-compatible-roots-v2
箒,ほうき,daily_tools,auto,wnja:1.1-compatible-roots-v2
葱,ねぎ,food|vegetable,auto,wnja:1.1-compatible-roots-v2
蚊,か,animal|nature,auto,wnja:1.1-compatible-roots-v2
蛙,かえる,animal|nature,auto,wnja:1.1-compatible-roots-v2
蛾,が,animal|nature,auto,wnja:1.1-compatible-roots-v2
蜂,はち,animal|nature,auto,wnja:1.1-compatible-roots-v2
蟻,あり,animal|nature,auto,wnja:1.1-compatible-roots-v2
豆,まめ,food|fruit|vegetable,auto,wnja:1.1-compatible-roots-v2
頬,ほお,body,auto,wnja:1.1-compatible-roots-v2
顎,あご,body,auto,wnja:1.1-compatible-roots-v2
馬,うま,animal|nature,auto,wnja:1.1-compatible-roots-v2
麦,むぎ,food|plant,auto,wnja:1.1-compatible-roots-v2
へら,へら,daily_tools,auto,wnja:1.1-compatible-roots-v2
バス,ばす,vehicle,reviewed,manual:reviewed-polysemy-v1
ピザ,ぴざ,food,auto,wnja:1.1-compatible-roots-v2
上司,じょうし,person_job,auto,wnja:1.1-compatible-roots-v2
上着,うわぎ,clothing,auto,wnja:1.1-compatible-roots-v2
下着,したぎ,clothing,auto,wnja:1.1-compatible-roots-v2
中指,なかゆび,body,auto,wnja:1.1-compatible-roots-v2
主婦,しゅふ,person_job,auto,wnja:1.1-compatible-roots-v2
乗客,じょうきゃく,person_job,auto,wnja:1.1-compatible-roots-v2
人参,にんじん,vegetable,reviewed,wnja:07730207-n
個人,こじん,person_job,auto,wnja:1.1-compatible-roots-v2
先祖,せんぞ,person_job,auto,wnja:1.1-compatible-roots-v2
児童,じどう,person_job,auto,wnja:1.1-compatible-roots-v2
刺身,さしみ,food,auto,wnja:1.1-compatible-roots-v2
前菜,ぜんさい,food,auto,wnja:1.1-compatible-roots-v2
助手,じょしゅ,person_job,auto,wnja:1.1-compatible-roots-v2
動物,どうぶつ,nature,auto,wnja:1.1-compatible-roots-v2
友人,ゆうじん,person_job,auto,wnja:1.1-compatible-roots-v2
双子,ふたご,person_job,auto,wnja:1.1-compatible-roots-v2
司会,しかい,person_job,auto,wnja:1.1-compatible-roots-v2
合唱,がっしょう,music,auto,wnja:1.1-compatible-roots-v2
同志,どうし,person_job,auto,wnja:1.1-compatible-roots-v2
商人,しょうにん,person_job,auto,wnja:1.1-compatible-roots-v2
国王,こくおう,person_job,auto,wnja:1.1-compatible-roots-v2
坊や,ぼうや,person_job,auto,wnja:1.1-compatible-roots-v2
墓場,はかば,place_building,auto,wnja:1.1-compatible-roots-v2
夕立,ゆうだち,nature,auto,wnja:1.1-compatible-roots-v2
夕飯,ゆうはん,food,auto,wnja:1.1-compatible-roots-v2
大工,だいく,person_job,auto,wnja:1.1-compatible-roots-v2
天候,てんこう,nature,auto,wnja:1.1-compatible-roots-v2
女子,じょし,person_job,auto,wnja:1.1-compatible-roots-v2
姉妹,しまい,person_job,auto,wnja:1.1-compatible-roots-v2
婦人,ふじん,person_job,auto,wnja:1.1-compatible-roots-v2
家内,かない,person_job,auto,wnja:1.1-compatible-roots-v2
寝台,しんだい,daily_tools,auto,wnja:1.1-compatible-roots-v2
寝巻,ねまき,clothing,auto,wnja:1.1-compatible-roots-v2
小川,おがわ,nature|place_building,auto,wnja:1.1-compatible-roots-v2
小指,こゆび,body,auto,wnja:1.1-compatible-roots-v2
小鳥,ことり,animal|nature,auto,wnja:1.1-compatible-roots-v2
小麦,こむぎ,food|plant,auto,wnja:1.1-compatible-roots-v2
少女,しょうじょ,person_job,auto,wnja:1.1-compatible-roots-v2
少年,しょうねん,person_job,auto,wnja:1.1-compatible-roots-v2
山羊,やぎ,animal|nature,reviewed,wnja:02416519-n
山葵,わさび,food,reviewed,wnja:07857356-n
常連,じょうれん,person_job,auto,wnja:1.1-compatible-roots-v2
弟子,でし,person_job,auto,wnja:1.1-compatible-roots-v2
彼氏,かれし,person_job,auto,wnja:1.1-compatible-roots-v2
後輩,こうはい,person_job,auto,wnja:1.1-compatible-roots-v2
恋人,こいびと,person_job,auto,wnja:1.1-compatible-roots-v2
恩人,おんじん,person_job,auto,wnja:1.1-compatible-roots-v2
手袋,てぶくろ,clothing,auto,wnja:1.1-compatible-roots-v2
手首,てくび,body,auto,wnja:1.1-compatible-roots-v2
打者,だしゃ,person_job,auto,wnja:1.1-compatible-roots-v2
新人,しんじん,person_job,auto,wnja:1.1-compatible-roots-v2
旅館,りょかん,place_building,auto,wnja:1.1-compatible-roots-v2
日本,にっぽん,country,auto,wnja:1.1-compatible-roots-v2
昆虫,こんちゅう,animal|nature,reviewed,wnja:02159955-n
朝食,ちょうしょく,food,auto,wnja:1.1-compatible-roots-v2
本人,ほんにん,person_job,auto,wnja:1.1-compatible-roots-v2
校庭,こうてい,place_building,auto,wnja:1.1-compatible-roots-v2
校長,こうちょう,person_job,auto,wnja:1.1-compatible-roots-v2
歌手,かしゅ,person_job,auto,wnja:1.1-compatible-roots-v2
歯茎,はぐき,body,auto,wnja:1.1-compatible-roots-v2
母親,ははおや,person_job,auto,wnja:1.1-compatible-roots-v2
民謡,みんよう,music,auto,wnja:1.1-compatible-roots-v2
水着,みずぎ,clothing,auto,wnja:1.1-compatible-roots-v2
水道,すいどう,nature|place_building,auto,wnja:1.1-compatible-roots-v2
河馬,かば,animal|nature,auto,wnja:1.1-compatible-roots-v2
海岸,かいがん,nature|place_building,auto,wnja:1.1-compatible-roots-v2
海辺,うみべ,nature|place_building,auto,wnja:1.1-compatible-roots-v2
温室,おんしつ,place_building,auto,wnja:1.1-compatible-roots-v2
父親,ちちおや,person_job,auto,wnja:1.1-compatible-roots-v2
牛肉,ぎゅうにく,food,auto,wnja:1.1-compatible-roots-v2
玄米,げんまい,food,auto,wnja:1.1-compatible-roots-v2
玉葱,たまねぎ,food|plant|vegetable,reviewed,wnja:07722217-n|wnja:12432808-n
王女,おうじょ,person_job,auto,wnja:1.1-compatible-roots-v2
王子,おうじ,person_job,auto,wnja:1.1-compatible-roots-v2
生姜,しょうが,food|plant,reviewed,wnja:07814925-n|wnja:12355760-n
男子,だんし,person_job,auto,wnja:1.1-compatible-roots-v2
画家,がか,person_job,auto,wnja:1.1-compatible-roots-v2
白米,はくまい,food,auto,wnja:1.1-compatible-roots-v2
白鳥,はくちょう,animal|nature,auto,wnja:1.1-compatible-roots-v2
相撲,すもう,person_job,auto,wnja:1.1-compatible-roots-v2
知事,ちじ,person_job,auto,wnja:1.1-compatible-roots-v2
社長,しゃちょう,person_job,auto,wnja:1.1-compatible-roots-v2
祖先,そせん,person_job,auto,wnja:1.1-compatible-roots-v2
競馬,けいば,sport,reviewed,wnja:00450070-n
箪笥,たんす,daily_tools,auto,wnja:1.1-compatible-roots-v2
素人,しろうと,person_job,auto,wnja:1.1-compatible-roots-v2
縞馬,しまうま,animal|nature,auto,wnja:1.1-compatible-roots-v2
美人,びじん,person_job,auto,wnja:1.1-compatible-roots-v2
肋骨,ろっこつ,body,auto,wnja:1.1-compatible-roots-v2
肌着,はだぎ,clothing,auto,wnja:1.1-compatible-roots-v2
胡瓜,きゅうり,food|vegetable,reviewed,wnja:07718472-n
花嫁,はなよめ,person_job,auto,wnja:1.1-compatible-roots-v2
薔薇,ばら,plant|nature,auto,wnja:1.1-compatible-roots-v2
衣料,いりょう,clothing,auto,wnja:1.1-compatible-roots-v2
衣服,いふく,clothing,auto,wnja:1.1-compatible-roots-v2
衣類,いるい,clothing,auto,wnja:1.1-compatible-roots-v2
親友,しんゆう,person_job,auto,wnja:1.1-compatible-roots-v2
親指,おやゆび,body,auto,wnja:1.1-compatible-roots-v2
詩人,しじん,person_job,auto,wnja:1.1-compatible-roots-v2
講師,こうし,person_job,auto,wnja:1.1-compatible-roots-v2
議長,ぎちょう,person_job,auto,wnja:1.1-compatible-roots-v2
豆腐,とうふ,food,auto,wnja:1.1-compatible-roots-v2
豚肉,ぶたにく,food,auto,wnja:1.1-compatible-roots-v2
足首,あしくび,body,auto,wnja:1.1-compatible-roots-v2
車庫,しゃこ,place_building,auto,wnja:1.1-compatible-roots-v2
部下,ぶか,person_job,auto,wnja:1.1-compatible-roots-v2
金魚,きんぎょ,animal|nature,auto,wnja:1.1-compatible-roots-v2
銀杏,いちょう,plant|nature,auto,wnja:1.1-compatible-roots-v2
雑草,ざっそう,plant|nature,auto,wnja:1.1-compatible-roots-v2
難民,なんみん,person_job,auto,wnja:1.1-compatible-roots-v2
